"index","word","frequency"
"0","python","3099"
"1","r","1887"
"2","sql","1866"
"3","microsoft","1448"
"4","java","1268"
"5","excel","1034"
"6","spark","1003"
"7","hadoop","863"
"8","matlab","503"
"9","tableau","485"
"10","scala","467"
"11","tensorflow","362"
"12","perl","276"
"13","c/c++","274"
"14","scikit-learn","163"
"15","stata","131"
"16","teradata","112"
"17","pytorch","111"
"18","caffe","108"
"19","keras","99"
"20","quest","87"
"21","theano","85"
"22","orange","58"
"23","torch","51"
"24","jmp","49"
"25","mxnet","48"
"26","mathematica","48"
"27","julia","47"
"28","h2o.ai","44"
"29","qlikview","39"
"30","mllib","35"
"31","datarobot","34"
"32","alteryx","31"
"33","weka","30"
"34","pentaho","26"
"35","dataiku","21"
"36","microstrategy","20"
"37","knime","19"
"38","clojure","16"
"39","anaconda","13"
"40","fico","10"
"41","minitab","10"
"42","rapidminer","9"
"43","ayasdi","7"
"44","f#","4"
"45","birst","3"
"46","lisp","2"
"47","sisense","2"
"48","dl4j","1"
