"index","position","company","key_words","city","state"
"0","Development Director","ALS TDI","data, research, development, skills, business, ability, working, management, including, software, information, opportunity, scientists, requirements, computer, building, scientific, responsible","Atlanta","GA"
"1","An Ostentatiously-Excitable Principal Research Assistant to Chief Scientist","The Hexagon Lavish","data, research, development, skills, ability, learning, analysis, years, technical, including, software, required, engineering, information, teams, opportunity, technology, scientists, project, clinical, communication, tools, computer, and/or, across, understanding, preferred, statistical, complex, qualifications, scientist, analytical, developing, scientific, excellent, employer, responsible, responsibilities, program, expertise, highly, modeling, relevant, reports, methods, multiple, internal, statistics, perform, algorithms","Atlanta","GA"
"2","Data Scientist","Xpert Staffing","data, research, development, skills, business, learning, analysis, years, working, related, solutions, information, analytics, projects, using, tools, requirements, computer, and/or, across, understanding, preferred, statistical, complex, problems, customers, scientist, analytical, advanced, responsible, python, looking, clients, insights, programming, marketing, modeling, relevant, multiple, internal","Atlanta","GA"
"3","Data Analyst","Operation HOPE","data, development, skills, years, management, knowledge, systems, related, information, opportunity, status, tools, statistical, complex, employment, scientist, analytical, quality, employer, responsible, disability, national, performance, python, gender, program, operations, insights, programming, modeling, reports, methods","Atlanta","GA"
"4","Assistant Professor -TT - Signal Processing & Machine Learning","Emory University","data, research, development, ability, learning, analysis, years, management, including, software, knowledge, engineering, systems, related, environment, information, technology, projects, clinical, tools, requirements, computer, and/or, across, statistical, services, technologies, techniques, scientific, candidate, program, highly, relevant, multiple","Atlanta","GA"
"5","Manager of Data Engineering","McKinsey & Company","data, development, skills, business, ability, years, working, including, software, systems, related, environment, solutions, information, analytics, projects, scientists, tools, requirements, computer, across, preferred, role, services, customer, qualifications, engineers, into, analytical, developing, performance, results, clients, applications, expertise, operations, highly, insights, maintain, marketing, multiple, organization","Atlanta","GA"
"6","Product Specialist - Periscope, New Ventures","McKinsey & Company","data, development, skills, business, ability, years, working, management, technical, including, software, systems, environment, solutions, teams, analytics, technology, products, scientists, project, communication, tools, across, role, services, customer, qualifications, engineers, into, developing, excellent, performance, results, clients, applications, global, insights, marketing, internal","Atlanta","GA"
"7","Junior to Mid-level Engineer, Geologist or Environmental Scientist","Wood","data, research, skills, business, ability, analysis, technical, including, software, required, engineering, environment, solutions, opportunity, status, projects, project, using, communication, requirements, computer, across, understanding, preferred, services, health, complex, qualifications, employment, scientist, techniques, scientific, excellent, medical, employer, disability, responsibilities, national, performance, candidate, gender, global, maintain, relevant, reports, multiple, internal, programs, perform","Atlanta","GA"
"8","Analyst - CIB Credit Research","SunTrust","research, development, skills, ability, analysis, management, including, related, environment, teams, opportunity, communication, not, models, preferred, statistical, qualifications, into, analytical, building, employer, national, gender, program, modeling","Atlanta","GA"
"9","Senior Associate - Cognitive Data Scientist Natural Language Processing","KPMG","data, development, skills, business, ability, learning, years, working, including, software, knowledge, engineering, related, environment, solutions, information, teams, analytics, opportunity, products, status, project, communication, tools, requirements, computer, models, services, customer, engineers, employment, into, scientist, developing, advanced, excellent, employer, disability, national, results, gender, clients, expertise, highly, marketing, organization, internal, statistics, perform, algorithms","Atlanta","GA"
"10","STATISTICAL FORECAST ANALYST","The Home Depot","data, development, skills, business, ability, analysis, years, management, software, required, knowledge, related, environment, information, teams, opportunity, projects, using, tools, requirements, computer, not, across, understanding, models, preferred, statistical, customer, analytical, developing, advanced, responsible, program, insights, relevant, reports, methods, perform","Atlanta","GA"
"11","Health Scientist III-CPTS","Chenega Corporation","data, research, development, skills, technical, including, required, knowledge, environment, opportunity, products, clinical, communication, not, and/or, preferred, services, health, qualifications, employment, scientist, scientific, medical, employer, program, expertise, operations, maintain, relevant, reports, organization, perform","Atlanta","GA"
"12","Senior Associate, Data Scientist","KPMG","data, research, development, business, ability, learning, analysis, years, working, software, knowledge, engineering, related, environment, solutions, information, analytics, opportunity, status, projects, using, tools, requirements, computer, and/or, preferred, statistical, technologies, employment, into, scientist, techniques, advanced, employer, disability, national, results, gender, clients, operations, global, marketing, modeling, reports, methods, statistics, perform, algorithms","Atlanta","GA"
