"index","tool_name","year_2017","year_2016","year_2015"
"0","Python","52.6","45.8","30.3"
"1","R","52.1","49.0","46.9"
"2","SQL","34.9","35.5","30.9"
"3","RapidMiner","32.8","32.6","31.5"
"4","Excel","28.1","33.6","22.9"
"5","Spark","22.7","21.6","11.3"
"6","scikit-learn","19.5","17.2","8.3"
"7","Tableau","19.4","18.5","12.4"
"8","KNIME","19.1","18.0","20.0"
"9","Hadoop","15.0","22.1","18.4"
"10","Java","13.8","16.8","14.1"
"11","Microsoft SQL Server","11.6","10.8","9.7"
"12","Microsoft Power BI","10.2","5.6","3.6"
"13","Weka","9.8","10.9","11.2"
"14","Unix shell/awk/gawk","9.6","10.4","8.0"
"15","Dataiku","8.2","7.8","2.0"
"16","Scala","7.4","6.2","3.5"
"17","MATLAB","7.4","9.1","8.8"
"18","SAS Base","7.1","7.8","11.3"
"19","IBM SPSS Statistics","6.8","8.4","7.7"
"20","Microsoft Azure Machine Learning","6.4","5.1","3.7"
"21","IBM SPSS Modeler","6.3","7.7","7.1"
"22","C/C++","6.3","7.3","9.4"
"23","H2O.ai","6.2","6.7","2.0"
"24","Theano","5.8","5.1","3.8"
"25","SAS Enterprise Miner","5.6","5.6","10.9"
"26","Alteryx","5.3","3.0","5.6"
"27","MLlib","4.5","11.6","3.3"
"28","IBM Watson / Watson Analytics","4.3","4.2","2.1"
"29","QlikView","4.2","5.3","4.2"
"30","Orange","4.0","3.1","1.9"
"31","Caffe","3.1","2.3","1.1"
"32","Rattle","2.6","3.6","4.2"
"33","TIBCO Spotfire","2.5","2.8","4.3"
"34","Gnu Octave","2.4","3.1","2.3"
"35","DL4J","2.2","1.7","0.4"
"36","IBM Cognos","2.1","2.2","1.8"
"37","JMP","1.8","2.0","3.1"
"38","Pentaho","1.8","2.3","2.7"
"39","Oracle Adv. Analytics","1.8","1.1","0.8"
"40","Amazon Machine Learning","1.7","1.9","0.7"
"41","Perl","1.7","2.3","2.9"
"42","Mathematica","1.4","1.8","1.9"
"43","C4.5/C5.0/See5","1.2","2.0","1.3"
"44","Torch","1.2","1.0","1.0"
"45","Stata","1.1","1.3","1.3"
"46","Julia","1.1","1.1","1.1"
"47","MicroStrategy","1.1","1.6","0.9"
"48","Vowpal Wabbit","1.1","1.6","1.3"
"49","SAP BusinessObjects Predictive Analytics","1.1","1.5","3.0"
"50","Angoss","1.0","0.1","0.4"
"51","BigML","1.0","0.9","0.8"
"52","F#","0.6","0.4","0.7"
"53","Quest","0.5","1.2","1.7"
"54","Lisp","0.4","0.2","0.4"
"55","BayesiaLab","0.4","0.6","0.6"
"56","Salford SPM/CART/RF/MARS/TreeNet","0.4","3.5","2.3"
"57","Clojure","0.3","0.4","0.5"
"58","RapidInsight/Veera","0.2","3.0","0.2"
"59","FICO","0.2","0.2","0.0"
"60","Ontotext GraphDB","0.2","0.2","0.0"
"61","Ayasdi","0.2","0.3","2.0"
"62","Lavastorm","0.2","0.4","0.4"
"63","Turi","0.2","2.4","0.5"
"64","Alpine Data Labs","0.1","0.6","0.5"
"65","Birst","0.1","0.2","0.1"
"66","Skytree","0.1","0.3","0.1"
"67","Actian","0.1","0.3","2.0"
"68","Sisense","0.1","0.2","0.2"
